MONTH,STATE,GENERATION(Mwh)
7,NV,4679503.0
7,NY,11930259.0
7,OH,11850938.0
7,OK,7647216.0
7,OR,5145661.0
7,PA,23291936.0
7,RI,876165.0
7,SC,9712734.0
7,SD,1542214.0
7,TN,8210046.0
7,TX,48066474.0
7,US-TOTAL,404748716.0
7,UT,4551005.0
7,VA,9718726.0
7,VT,177629.0
7,WA,9753979.0
7,WI,6818142.0
7,WV,7041948.0
7,WY,4136039.0
8,AK,570720.0
8,AL,13937140.0
8,AR,6643288.0
8,AZ,11498006.0
8,CA,20631178.0
8,CO,5499518.0
8,CT,4256341.0
8,DC,20354.0
8,DE,657353.0
8,FL,25364221.0
8,GA,13231111.0
8,HI,826982.0
8,IA,5899787.0
8,ID,1431700.0
8,IL,17421598.0
8,IN,10146851.0
8,KS,5328167.0
8,KY,7333650.0
8,LA,10162026.0
8,MA,2234294.0
8,MD,3888555.0
8,ME,925857.0
8,MI,10995383.0
8,MN,6204062.0
8,MO,8272642.0
8,MS,6891275.0
8,MT,1976881.0
8,NC,13519133.0
8,ND,3767844.0
8,NE,3816014.0
8,NH,1770201.0
8,NJ,6635958.0
8,NM,3463814.0
8,NV,4499841.0
8,NY,12607715.0
8,OH,12035353.0
8,OK,8767473.0
8,OR,5096573.0
8,PA,23305121.0
8,RI,923342.0
8,SC,9280602.0
8,SD,1655669.0
8,TN,8348658.0
8,TX,50140604.0
8,US-TOTAL,413353176.0
8,UT,4397659.0
8,VA,9679739.0
8,VT,178416.0
8,WA,9335371.0
8,WI,6853120.0
8,WV,7202366.0
8,WY,3823653.0
9,AK,460316.0
9,AL,12263548.0
9,AR,5721982.0
9,AZ,10115012.0
9,CA,18078707.0
9,CO,4662011.0
9,CT,3722138.0
9,DC,18491.0
9,DE,297368.0
9,FL,22506660.0
9,GA,10203614.0
9,HI,789399.0
9,IA,5731383.0
9,ID,1197794.0
9,IL,14611662.0
9,IN,7625956.0
9,KS,4814452.0
9,KY,5663576.0
9,LA,7401591.0
9,MA,1493892.0
9,MD,3378974.0
9,ME,879648.0
9,MI,9307213.0
9,MN,4694826.0
9,MO,7122833.0
9,MS,5313062.0
9,MT,1903277.0
9,NC,10659491.0
9,ND,3578714.0
9,NE,3275053.0
9,NH,1667083.0
9,NJ,5456777.0
9,NM,3092005.0
9,NV,3934919.0
9,NY,10165323.0
9,OH,10372760.0
9,OK,7218298.0
9,OR,4404178.0
9,PA,19958140.0
9,RI,774914.0
9,SC,8295645.0
9,SD,1306501.0
9,TN,6794722.0
9,TX,44200351.0
9,US-TOTAL,348200651.0
9,UT,4024420.0
9,VA,7585252.0
9,VT,160110.0
9,WA,7428798.0
9,WI,5195282.0
9,WV,4806410.0
9,WY,3866123.0
10,AK,470063.0
10,AL,11897593.0
10,AR,4821257.0
10,AZ,8511808.0
10,CA,16376957.0
10,CO,4186754.0
10,CT,2995826.0
10,DC,15970.0
10,DE,222026.0
10,FL,20145563.0
10,GA,9755428.0
10,HI,790787.0
10,IA,5430947.0
10,ID,1132608.0
10,IL,13568903.0
10,IN,6589878.0
10,KS,4334915.0
10,KY,4880493.0
10,LA,9063974.0
10,MA,1502326.0
10,MD,3508641.0
10,ME,979777.0
10,MI,9744104.0
10,MN,4710897.0
10,MO,6252552.0
10,MS,5043275.0
10,MT,1891958.0
10,NC,9965263.0
10,ND,3351861.0
10,NE,3257200.0
10,NH,831658.0
10,NJ,5061314.0
10,NM,2633301.0
10,NV,3139271.0
10,NY,9862350.0
10,OH,10527013.0
10,OK,6443538.0
10,OR,4496832.0
10,PA,17420078.0
10,RI,856889.0
10,SC,7468265.0
10,SD,1286146.0
10,TN,5187187.0
10,TX,39393880.0
10,US-TOTAL,319638396.0
10,UT,3344954.0
10,VA,6914886.0
10,VT,185308.0
10,WA,7671446.0
10,WI,4561753.0
10,WV,3415933.0
10,WY,3536787.0
11,AK,509618.0
11,AL,12430608.0
11,AR,4128279.0
11,AZ,7410368.0
11,CA,14872424.0
11,CO,4271071.0
11,CT,3935668.0
11,DC,17601.0
11,DE,346450.0
11,FL,17033671.0
11,GA,9841312.0
11,HI,787748.0
11,IA,5673447.0
11,ID,1420311.0
11,IL,14946236.0
11,IN,5871719.0
11,KS,4413179.0
11,KY,5243893.0
11,LA,7995948.0
11,MA,1229088.0
11,MD,3296986.0
11,ME,998715.0
11,MI,9964655.0
11,MN,5043459.0
11,MO,6337690.0
11,MS,5241747.0
11,MT,2255853.0
11,NC,10617471.0
11,ND,3782088.0
11,NE,3153674.0
11,NH,1165878.0
11,NJ,5045254.0
11,NM,2818653.0
11,NV,2978752.0
11,NY,10098600.0
11,OH,10180765.0
11,OK,6045368.0
11,OR,5079566.0
11,PA,18128891.0
11,RI,684859.0
11,SC,7246224.0
11,SD,1449083.0
11,TN,5366656.0
11,TX,35646613.0
11,US-TOTAL,315494917.0
11,UT,3324665.0
11,VA,6816187.0
11,VT,158304.0
11,WA,8932647.0
11,WI,4314389.0
11,WV,3554828.0
11,WY,3387758.0
12,AK,554213.0
12,AL,12204183.0
12,AR,4621158.0
12,AZ,8209164.0
12,CA,15234969.0
12,CO,4907084.0
12,CT,3838804.0
12,DC,16973.0
12,DE,454076.0
12,FL,18171804.0
12,GA,9838752.0
12,HI,779425.0
12,IA,5695882.0
12,ID,1656048.0
12,IL,16120385.0
12,IN,7271621.0
12,KS,5253161.0
12,KY,5005797.0
12,LA,7894614.0
12,MA,1427563.0
12,MD,3007203.0
12,ME,971744.0
12,MI,9767606.0
12,MN,5403674.0
12,MO,6592318.0
12,MS,5406865.0
12,MT,2483213.0
12,NC,10375554.0
12,ND,3895807.0
12,NE,3469010.0
12,NH,1409448.0
12,NJ,4978191.0
12,NM,3627385.0
12,NV,3070222.0
12,NY,10434363.0
12,OH,10307597.0
12,OK,6090961.0
12,OR,6163301.0
12,PA,20872690.0
12,RI,650637.0
12,SC,7955350.0
12,SD,1684029.0
12,TN,6213506.0
12,TX,38500888.0
12,US-TOTAL,339684017.0
12,UT,3399772.0
12,VA,8085655.0
12,VT,191311.0
12,WA,11130571.0
12,WI,4739287.0
12,WV,5699551.0
12,WY,3950631.0
